question,query
what is the biggest city in wyoming,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what wyoming city has the largest population,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what is the largest city in wyoming,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
where is the most populated area of wyoming,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
which city in wyoming has the largest population,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what cities in wyoming have the highest number of citizens,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what cities in wyoming have the highest populations,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what is the most populous city in wyoming,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what is the largest city in wyoming by population,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what is the largest city of wyoming,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
what is the city in wyoming with the largest population,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";"
which rivers run through the state with the largest city in the us,SELECT river_name FROM river WHERE traverse IN ( SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city ) );
how big is new mexico,"SELECT area FROM state WHERE state_name  =  ""new mexico"";"
what is the area of new mexico,"SELECT area FROM state WHERE state_name  =  ""new mexico"";"
how large is new mexico,"SELECT area FROM state WHERE state_name  =  ""new mexico"";"
what is the area of the new mexico state,"SELECT area FROM state WHERE state_name  =  ""new mexico"";"
what is the size of new mexico,"SELECT area FROM state WHERE state_name  =  ""new mexico"";"
what is the area of new mexico in square kilometers,"SELECT area FROM state WHERE state_name  =  ""new mexico"";"
how many people live in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many people reside in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many residents live in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how much population does california have,"SELECT population FROM state WHERE state_name  =  ""california"";"
what are the population of california,"SELECT population FROM state WHERE state_name  =  ""california"";"
what is the population of california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many people are in the state of california,"SELECT population FROM state WHERE state_name  =  ""california"";"
what can you tell me about the population of california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many people are there in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many citizens in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many people stay in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
how many citizens live in california,"SELECT population FROM state WHERE state_name  =  ""california"";"
what state has the smallest population,SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
what is the least populous state,SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
what is the state with the lowest population,SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
give me the cities in texas,"SELECT city_name FROM city WHERE state_name  =  ""texas"";"
tell me what cities are in texas,"SELECT city_name FROM city WHERE state_name  =  ""texas"";"
what cities are located in texas,"SELECT city_name FROM city WHERE state_name  =  ""texas"";"
what are the cities in texas,"SELECT city_name FROM city WHERE state_name  =  ""texas"";"
what cities in texas,"SELECT city_name FROM city WHERE state_name  =  ""texas"";"
give me the cities which are in texas,"SELECT city_name FROM city WHERE state_name  =  ""texas"";"
what is the area of the state with the capital albany,"SELECT area FROM state WHERE capital  =  ""albany"";"
give me the lakes in california,"SELECT lake_name FROM lake WHERE state_name  =  ""california"";"
name the major lakes in michigan,"SELECT lake_name FROM lake WHERE area  >  750 AND state_name  =  ""michigan"";"
what are the states,SELECT state_name FROM state;
list the states,SELECT state_name FROM state;
give me all the states of usa,SELECT state_name FROM state;
which states do ohio river flow through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what states does the ohio river run through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what states border the ohio river,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
which states border the ohio river,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what states does the ohio run through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
where is the ohio river,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
which states does the ohio river run through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
which states does the ohio run through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
which states does the ohio river pass through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what are the states that the ohio run through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
which state has the ohio river,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what states have rivers named ohio,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
through which states does the ohio flow,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what states are next to the ohio,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
through which states does the ohio run,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what states does the ohio river go through,"SELECT traverse FROM river WHERE river_name  =  ""ohio"";"
what state has the largest population,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what is the most populous state,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
